hotel_id,hotel_name,avg_price,review_score
10853892,Deluxe Double Room With Attach Bath. (101),1490,4
10863831,Krishna Ganga Cottage,1857,4
10864379,"Terrace Studio Apartment,Lonavala",1929,4
1088810,Private space with Free WiFi&Pickup,950,4.5
10894403,The House of Blue Mangoes Room #Isaioli (Ensuite),1804,5
10911970,Home away from home.,2899,4.5
10927994,The Perfect Blend Of Hotel & Ashram,740,5
10933690,"Singles Pad, Small and Cosy BnB, near Eon",1120,4.5
10935326,Clover - Honey Comb (Compact Loft),740,4.5
1093550,"Comfortable Room Free WiFi,Pickup",950,4.5
10935832,(SHANTIDHAM) CLEAN AND CALM SEA VIEW COTTAGES.,940,5
10948814,Cosy service apartment,7490,4.5
10949379,Sunrise Guest house 2,2300,4.5
10949590,Sunrise Guest house 3,2300,4.5
10949757,Sunrise Guest house 6,2500,5
10949827,Sunrise Guest house 7,2500,5
10976034,Cozy Room in Elite area of Nagpur.,2200,5
10976589,Cozy Room in Elite area of Nagpur..,2200,5
10994504,"Luxurious ,chic,Infection prevention@ City Ctr!",4700,5
1102134,"Private AC Room,Free WiFi,Free Pick",1200,4.5
11032203,"Anara Homes | The One Studio, GK II",3429,4.5
11051699,Panchgani bungalow / Villa / Homestay  - DALA MARE,2699,5
11053745,BAGOL PALACE,740,4.5
11078762,SunnyRoom& Rooftop garden@Heritage KolkataHomestay,1200,5
11093506,Wenge House,999,5
11098021,Ashirwad Homestay. Scenic & Centric,2000,5
11098497,Magpie retreat - Whistling Thrush,3500,5
11100536,Thayyil Farm Villa - Nandus Cottage,1000,4.5
11130922,"Ideal location near beach,luxurious",1700,4.5
11137004,BRAHMAPUTRA HOME STAY,2000,4.5
11148142,"The Bay Leaf, Panchgani",2036,4.5
11170204,Unique thatch cabin 1,800,4.5
11170377,Mango Duet,1449,4
11211863,_Mistycove Lake View 2BR Villa_Ideal for families,10000,5
11219131,_Ideal for family | Mistycove 2BR Lake View Villa,10000,4.5
11220350,OLIVE Awesome Studio with Kitchen @ Hitech City,2703,4.5
11233565,Studio with a view,1499,4
11307711,"George's Arabica, Hivehomes, Wayanad",2298,4.5
11336419,Private Flat in Central Location,740,4.5
11369440,The Gaff in Kalimpong-Deluxe,3500,5
11396976,GreyDoveHomestay,1499,5
11421424,Gajkaran Haveli Lake View Room 01,1900,4.5
11432064,Russet,1580,5
11443876,Casablanca,2000,4.5
11444066,Ashirwad Suite. Scenic & Centric,1800,5
11446236,Ashirwad Compact. Scenic & Centric,1400,5
1145032,Peaceful  green corner in Old Alipore,1200,4.5
11465662,Light The Night Camping,900,4.5
11470298,Deluxe Room with Balcony @ Colonel's Inn,3776,4.5
11470575,Deluxe Double Room @ Colonel's Inn,3533,4.5
11470715,Deluxe King Room @ Colonel’s Inn,4561,4
11486639,Elegant and Airy Private Space,2300,5
11500597,CALVIN'S INN,850,4.5
11500746,"Happening South Blr, Room in apt",800,4.5
11519285,"2 bedroom modular kitchen apartment,posh,Nagpur",4000,4.5
11532388,Chopra House - Upper Room 4,1800,4.5
11532521,Chopra House - Upper Room 5,1800,4
11594219,"George's Robusta, Hivehomes, Wayanad",2298,4.5
11609647,Bright Private Flat in Central Area,800,4.5
116245,Adams wood house - a friendly homestay in kochi,999,4.5
11628597,Private ensuite room close to both Mumbai airports,2000,5
11648720,Three Bed Apartment - Amazon,8257,4.5
11663174,"Reflections Guesthouse, Ooty",990,4.5
11678699,Single or twin room in town - Ram Ram Haveli,900,5
11681861,Holidayincoorg Orchid villa,1374,4.5
11684017,Private room in a duplex House for Homestay,1200,5
11687474,Coorg Tent House - Madikeri,2520,4.5
11689607,WHITE FORT Holiyday Home.,3550,4.5
11699374,"Hill View room, Notting Hill Homestay",3057,4.5
11723059,"A cosy place in  Pink City, Jaipur",874,5
11744379,Three Bed Apartment -  Bhoomi,6314,4.5
11744832,Duplex  2 Bed Apartment - Vismay,4371,4.5
11746837,Two Bed Apartment - Nilgiri,4371,5
11747422,Two Bed Apartment - Himalaya,4371,4
11778974,MARY GRACE HOME STAY- GUEST ROOM 2,950,4.5
11783628,Studio Apartment with 3 rooms and living area,13500,5
11784216,Salt Lake | AC room # 101 | Free WiFi,1300,5
11806482,Bamboo Nest Farmhouse,12857,4.5
11828782,The Tea Road Deluxe Room,1777,4.5
11833723,The House of Blue Mangoes Room #Kavya (Unattached),900,5
11835662,"Ammini's, Hivehomes, Wayanad",2298,4.5
11858377,Exotic villa,4501,5
11893375,"HOME STAY WAI!!
Gr Flr apt. in a Gated Community",3000,4
11895902,1BHK furnished home for you in NIBM,2071,4.5
11898566,double bed room,1211,4
11917740,Traditional Kerala Wooden House,1500,5
11950959,"JASMISH COTTAGE.  Room:-""JAS "" Luxurious & Cosy",3690,5
11976428,Home Away Home- Family Getaway-Close to GS Road,1206,5
11979540,Hill Top Home Sanitised (2BHK) Near Amby valley,5285,4.5
11994681,Twin Room,1326,4
12003573,HARI KA TOLA RETREAT,4000,4.5
12030622,AC Double Bed with Amazing Balcony,1114,5
12043470,Gajkaran Haveli Lake View Room 2,1900,4
12057355,"• SHANTI NIWAS • Vibrant, AC Double Bedroom",1200,5
12058803,Homestay private Room Airport Jaipur rajasthan,740,5
12060540,Friendly & peaceful en-suite 'Jewel of Jaisalmer'!,547,5
12095834,Honey Palace Homestay-Madikeri,850,4.5
12143156,Sanitized LAKESIDE OASIS,998,4.5
12182862,Room in Villa with swimming Pool Kalyan Cool 1 Chikmagalur,4645,5
12192377,ISHA YOGA STAY,662,4.5
12192860,Amaltas: A laburnum themed cottage,11000,4.5
12196088,samariahomestayfortkochi 1,800,4.5
12216511,Studio Apartment with kitchen near Galleria,2207,4.5
12246654,Sree's cottage,1571,5
12260743,The Hermitage - Private Villa on a Cliff 2BHK,5000,4.5
12296433,Serenity@Alibaug,14571,5
1231348,"Private room, en-suite facilities",783,5
1233170,Homestay 2BHK with compliment breakfast & Kitchen,10000,5
12335280,"Home Stay at Ekdalia Road, Kolkata.",1000,4.5
12348245,Madhuban-Heritage-Deluxe Room-FREE BREAKFAST &WIFI,2577,5
12357306,Maruti Villa- Amazing Lake Views,3385,5
12394590,"#Sanitized Stay,  1bhk Studio Apartment+Breakfast.",1529,4
12396226,"#Sanitized Stay, Deluxe AC Bedroom+Free Wifi, Pune",2016,5
12422278,MEDIUM SIZE CosyRoom With 3 WINDOWS,712,4.5
12487490,The Glen - Himalayan Hideout,6000,4.5
12560976,Perfect place for a perfect holiday,3000,5
12659895,Island Homestay,2643,5
12716964,"ANANDAM HOUSE / ROOM 3, THE BUDDHA ROOM",730,5
12717306,"Cosy bedroom, fast Wifi, en-suite",1371,4.5
12730857,Rose Oak: Prashant's Homestay Nainital,1540,4.5
12742988,"ANANDAM HOUSE/ ROOM 3, THE BUDDHA ROOM",740,4.5
12769763,Sophisticated Stay in Koregaon Park,3300,5
12775040,Home stay in pollution free brand New,2543,4.5
12785674,The Basalts- A perfect homestay!,3036,4.5
12797476,Spice Homestay Apartment (Penthouse),2800,5
12798389,"Camping in Ooty 
Camp. Play. Bond.",1249,4.5
12800887,A beautiful flat with balconies overlooking hills.,1200,3.5
12816970,Clean and Beautiful Farmhouse,7000,4.5
12838483,LABURNUM DORMITORY IN AMALTAS,6000,4.5
12856964,Spacious One Bedroom Suite & Breakfast,943,5
12862959,"The ANNEX, I.A. Guest House Room #2",1457,5
12866102,"The ANNEX, I.A. Guest House Room #3",1336,5
12866330,"The ANNEX, I.A. Guest House Room #4",1336,5
12866632,"The ANNEX, I.A. Guest House Room #5",1799,5
1287571,Standard Room At Race Course,1999,4.5
12884062,"Kundan Homestay in Kais,kullu Manali",740,5
12892275,SUDEEP BUNGALOW,4000,4.5
1291381,Standard Double Room,1400,4
12929147,"Awesome Cottage near Ornamental Lake, Yercaud",2100,4.5
12935380,Unwind at Woodstock Villa,7500,5
12940525,Private Room in GK1 S Block with Private Terrace,1150,4
12960354,Beautiful & cozy Studio Apartment @ Siolim,1998,5
12962080,Garden view Luxury Studio Aparment @ Siolim,2350,5
12983591,GHARONDA-YOUR HOME AWAY FROM HOME,1500,5
12992656,A Cosy den ! Best place to be !!!!,985,4.5
12993547,Pindari Cottage,3500,4.5
13021898,ANANDAM HOUSE  / ROOM 2,748,4.5
13027718,Homely Large Well Furnished Room for WOMEN,1700,5
13070113,"Beautiful, Lush Green yet Modern 3BHK bunglow",8000,4.5
13131721,Old British house - Garden view cottage.,2100,4.5
13135186,Homestay nestled in the lap of nature,12000,5
13151103,AARAM - Pvt spacious 1BR in a quiet & serene area,900,5
13162437,Open Studio with Kitchenette,6700,4.5
13180105,Banlekhi's Rambling Rose Cottage,3500,4.5
13185211,Cozy Cottage Room amidst tall pine trees.,3000,5
13186377,East Room,1000,4.5
13197560,Guestlines serviced Apartments,4200,4.5
13197726,Guestlines Studio Apartments,3200,5
13210224,PWV (Palkadavu Warium Villa Homestay) - Wayanad,3000,4.5
13246093,Lotus Villa,12143,4.5
13265983,Private Amazing comfortable stay in heart of city!,1500,4.5
13271296,Woodhouse Farm,33000,5
13283016,The Plumeria,3500,5
13287521,"Mountain views from every room, stylish apartment",2800,4.5
13349496,"Woodstock Cottage In The Hills, Kodaikanal",7475,5
13364428,Private room on Agonda Beach 106,2150,5
13369860,KMR Villa,5500,5
13399727,The willow,5000,5
13399915,B&B The Casa,2000,5
13400198,ADITI  SINGLE/DOUBLE OCCUPANCY ROOM,1600,5
13422764,Valley view Bungalow on rent in Panchgani,8386,5
13436919,Lake Town Homestay,912,5
13437663,Suite w kitchenet + Lvng Rm _ Glf Crs Rd (NETFLIX),2377,4.5
13443499,Home stay Cottages on hill top,1213,4.5
13449674,NIYA NEST  Homestay..Near Beach-Newly renovated,744,4.5
13468183,Contemporary Antiquity,2500,5
13468398,Concretely Green,2000,4.5
13469606,Par-X Mist View - Garden Villa 10A - 4BHK & Pool.,8142,4.5
13493952,Noella's Pad,2250,4.5
13496224,Yedamakky Cottage,1800,4
13506205,Alibaug Tent Stay E2,5000,5
13514888,Old British House - Garden view cottage.,1800,4.5
13514954,Homestay.Near CityCentre PVR (800 meters),1069,5
13535609,The Buddhayan Apartments 102,1071,5
13536082,The Buddhayan Apartments 103,1071,5
13541202,6 bhk Luxurious Villa with Private Swimming pool,23997,5
13554974,Full apartment in a Beautiful House with Garden,2750,5
13555709,The Dog on the Hill - Bedroom 2,2300,5
13556548,The Dog on the Hill - Bedroom 3,2300,5
13570354,Corona Safe: - Colonial Cottage,15500,5
13570566,Corona Safe:   Eco cottage,20000,5
13582612,Petrichor’s Affordable Homestay in Darjeeling,800,4.5
13592357,"Tusti Kolong,secured&centrally located privateroom",1500,5
13592786,#2 Centrally Located Flat - Nungambakkam Posh Area,1829,4.5
13594018,Home stay in pollution free mountain view,2399,4.5
13594802,"Tusti Dibang,secured&centrally located privateroom",1100,4.5
13596880,BnB @ The Press House - Satluj,3800,5
13633566,"Cozy cottage Heaven in the clouds Khadakwasla,Pune",4100,5
13648774,2 bedroom Villa at residence of Maharaja of Kangra,7000,4
13650369,Deluxe room at residence of Maharaja of Kangra,3000,5
13653103,"Celebration and stay,only 2 km.from Airport",740,5
13661892,Arastu Bed & Breakfast @ Nampally,2399,4
13677537,Relaxation & Meditation Home room no 3,740,4.5
13689408,Ekant - The Orchard,6000,5
13691204,Twin room above Kangra Valley with shared bathroom,740,4.5
13693001,Entire Apartment With Kitchen & Hill View,2121,4.5
13695353,Upstair budget room with fan @ christville,777,5
13702397,RIVERVIEW COORG-Nature at it's best.,5500,4
13705575,vijayamcy service apartments (stay in peace),950,4
13706171,Villa near beach,7727,4
13743932,OLIVE Private Studio with Kitchen @ Hitech City,2198,5
13754596,1 km from mall road,4800,5
13775288,Ganga GH + Music School ( Deluxe A/C double bed ),1350,4.5
13788944,The English Cottage (4 BR)  snow  views,18000,5
13792170,Independent Bungalow (Coffee Cottage),8143,4.5
13799129,#1 Centrally Located Flat - Nungambakkam Posh Area,1779,4.5
13816715,FALCON Guest House,1400,4
13832633,"Open space,striking views & magical breeze-welcome",740,5
13867689,Secret Haven,6000,4
13870345,Palighar- Nepali mud house within paddy fields,3000,5
13877709,Premium Furnished Apartment @ Budget Price,1755,5
13895821,Cozy 1BHK Apartment in New Alipore,980,5
13918711,Super deluxe room with glorious valley view @Naddi,4400,5
13928463,Old British house -Lichi Window,1600,5
13946895,Ganga Guesthouse +Music School(Deluxe Double room),880,4.5
13951861,Ganga G House + Music school (Single Deluxe Room),900,4.5
13952335,Ganga G House+music class(Single Room Deluxe +AC),1000,4.5
13960964,"Seaside Getaway | East Coast Road, Kovalam",2779,4.5
13965438,Feel at Home 1/2,1999,5
13967898,Raadballi (Myna's Nest) - A Jungle Retreat,1750,5
13967942,Casa Meena - Sea view villa 2 bedrooms,4714,4.5
13985104,Stay on the beach (whole studio apartment with ac),750,4.5
13991419,Next to Police Bazar - 3 room 100% veg appartment,5500,5
13993977,Supreme Private BedRoom + Living Room +Kitchen,799,5
14032425,Sadhana Forest Villa (nestled in the hills),5000,5
14047165,"Odia home, Stone's throw away from the Airport.",1500,4.5
14060229,Standard Jungle Cabana,1189,5
14080469,"Kabani Riverside, Mananthavady",2500,5
14083255,Spacious Bedroom with private bath,900,4.5
14095201,Pavana Homestay (Luxury Serviced Duplex Apartment),2320,5
1410016,"Kasauli, H.P. India",6000,4.5
14108413,AmandaVille 2: #LuxuryRooms@BudgetPrice in Cochin,1300,4.5
14108437,AmandaVille 1: #LuxuryRooms@BudgetPrice in Kochi,1400,4.5
14116339,Neetu's Home Stay-deluxe room,1349,5
14134610,AmandaVille 3: #LuxuryRooms@BudgetPrice in Cochin,1000,5
14135491,A Plush drive-in villa in DOWNTOWN SHIMLA.,10076,5
14142573,1BR & 1LR - Personal Apartment Garden View,5544,4.5
14144921,Private Room in Beach Hut for 3 People,2460,4.5
14152913,AmandaVille 4: #LuxuryRooms@BudgetPrice in Cochin,1200,4.5
14156542,Double sharing room - God's Own cottage,3500,4.5
14157500,Wunderhaus Artist Getaway - Budget Backpacker,1150,5
14160167,Madhumita's Homestay,1200,5
14160625,God's Own Cottage - Kumaon Hills,4763,5
14225011,Henry Corner,6000,4
14225364,voguenvilla unit 2,1265,4.5
14227431,The Courtyard Chikkamagaluru 1,1910,4.5
14228545,"Tara Bed and Breakfast, Mcleod ganj",829,4.5
14243280,Cozy Bunglow at Lonavala for a comfortable stay,7714,4.5
14246861,The Buddhayan Apartments 101,1071,5
14273576,Spring Valley Resorts,3000,2.5
14285835,Kenilworth Cottage- B&B,3000,4.5
14285848,Aashirwad Bungalow in Lonavla,3071,4.5
14286099,Henry Corner 301,1357,4.5
14288858,Most luxurious experience at this price,1360,5
1429142,"Mistycove, Lake Facing Heritage 2BR Cottage",10000,4
14313682,"Solitude Munnar, Bliss in the woods",5000,5
14315316,Walkaway Beach & Lush Green Private room in Juhu!,2000,5
14322472,The English Cottage (2BR) snow views,8000,5
14326469,Prime Locatn Lokhandwala/shpping area/restaurants,1500,5
14332561,The English Cottage Attic (1 BR) snow view.,4990,5
14334107,"Sankalp Villa, Nagaon - for smaller families",1586,5
14364500,"Elephant Trail Homestay (3) , Coorg",1800,4.5
14367261,Dahlia Cottage Annexe,3900,5
14378496,Private AC comfortable stay in heart of city!,2000,4
14400809,Maharaja Deluxe Room (in ROSE Heritage Home),3971,4.5
14414203,Perfect Homestay,956,5
14433835,"Sankalp Bungalow, Nagaon - for bigger families",4757,5
14434468,Cozy 1BD on a Terrace.,740,4
14454178,Stylish AC studio with kitchen in Koregaon Park,1650,5
14460561,Independent AC bedroom with 2 queen sized beds.,1214,5
14465099,Maharaja Suite,2500,4.5
14474851,Cozy private room in a vintage home,2350,4
14476206,Home Away from Home - Your Private Room & Kitchen,1200,5
14495967,High View Cottage,1231,4
14505989,Cozy 2bhk with Parking & Breakfast 1st floor,3500,4
14506312,Cosy furnished 2bhk,3529,4
14510951,Rumi's home stay,1504,5
14526101,"Stay near JLN Marg, Airport @ WTP",752,5
14528581,Spacious and Bright Flat in The Walled Pink City,990,5
14529159,(SHANTIDHAM) CLEAN AND CALM SEA VIEW COTTAGES,940,5
14530019,Heritage Boutique Stay near JLN marg,766,4.5
14539046,NON AC Serviced Apartment,2000,4.5
14541054,Modern 2 Bedroom Apt in Khar with Balconies & View,2400,5
14542453,Tea Break Holiday Home,3000,4.5
14557852,Creekside Cabin,1500,4.5
14563693,(SHANTIDHAM) OCEAN VIEW COTTAGE,940,4.5
14595904,House of Mud,1600,5
14617739,David Residency I,2899,4.5
14641214,Bee Hive Home Stay,2500,5
14646984,Service Apartment,1890,4
14654010,TraveliNNspired Kasauli's Bottom Deluxe-1,3120,4.5
14660312,Neetu's Home Stay- deluxe balcony room,1580,5
14700247,Hill Town,999,4.5
14701170,"Writers Retreat in the Himalayas, Mukteshwar",6171,4.5
14702197,Seeta Garden Homestay,1500,5
14722857,AC serviced Apartment,3000,4
14728548,Comfort living off Bhannerghatta road,746,5
14736843,Bungalow in coffee plantation (suraksha Homestay),740,4.5
14749403,"Villa Casuarina, near beach in sprawling grove",3206,5
14753096,A private cosy apartment,3143,5
14763282,COSY SERENE PRIVATE ROOM IN MUMBAI,1350,5
14763354,Interconnected rooms with a small private garden,2500,5
14764352,Vasco House Heritage Residency with Garden View.,800,5
14765413,The Tribe,2500,5
14776874,The Knot- Private room with terrace,2200,5
14777290,Corona Safe: Avondale - Beautiful Heritage Home,10424,5
14780765,Duplex with Private terrace and study,999,5
14788528,Rose - Palm Terrace,890,4.5
14790562,The Terrace- Stunning view-private room & terrace,1950,4.5
14807867,Corona Safe - Hillside,2143,5
14808926,Clean & Cosy  Budget Rooms At Dream Catcher,799,4.5
14809490,Wayanad Stay- The CoFFee-Suite,1381,5
14810394,Tropical Vintage,990,4.5
14812858,Budget Accommodation near Palace Museum!,723,4
14815866,Somewhere Over The Rainbow,1798,4.5
14823204,BACKPACK DIGS: Shared space in 1 BHK Koramangala,735,4.5
14828352,"THELMA STUDIOS-Premium, Family-Only B&B HOMESTAY-v",1257,5
14830669,"THELMA STUDIOS-Premium, Family-Only B&B HOMESTAY-s",1300,4.5
14833675,Stay in an Old Traditional House!,769,5
14854464,"2BHK, Centrally Located, with all amenities",1485,5
14859586,SINGLE ROOM STUDIO WITH PRIVATE ENTRY,740,4.5
14860757,Paragliding & Stay at Himachali homestay in Bir,4000,4.5
14860886,SHS Room 1 of 6,1550,4.5
14861456,"#1 Wood House: Fruit Orchard, Near Cochin Airport",1599,5
14867756,Quiet stay in Jaisalmer,740,4.5
14875428,Rose Garden Homestay,1800,5
1489919,Luxurious and Royal!,7500,4
14919824,The Royal Executive Suite,2350,5
14921573,The Royal Comfy Deluxe Room I,1175,5
14956617,Clean & Comfortable Room - Villa Stay in Jaipur,1299,5
14959951,Cozy 1 BR located few steps @ Bogmalo Beach 2,800,4.5
14971117,Rooftop View of the Fort!,3000,3.5
14973291,MaryamHouse Panchgani Mahableshwar,5500,4
14975054,A Stay with the Royal Family!,2983,4.5
14983631,Finnish Cottage ( build on tree logs),3600,4.5
14983682,Cottage Ananda,11079,5
14985973,Green Garden Suite,2499,5
14992260,PRIVATE ROOM IN ANDHERI/JUHU,1100,5
14999327,The Artist's Studio _Sanitized_,2014,5
15001438,Shakti Yoga and meditation retreat,900,5
15011868,"Hotel 233 Park Street -A Vintage Boutique, Kolkata",2500,4.5
15011916,Reflections Home Stay,1200,4.5
15012679,Amherst Cottage - by the Lake,20000,5
15014611,Quinta da Santana- Luxury Country Villa 1,3500,5
15031483,HandMade Homes : Chic South Calcutta Serviced HOME,5250,5
15035118,Kalpataru1 - stay in hills,740,5
15044957,'My Sunny Balcony' studio apts in Central BLR,1607,4.5
15064045,Homested Homestay - 6 clean private rooms,1500,4.5
15064502,Homested Homestay - Enjoy suite room experience,1800,4
15066809,(SHANTIDHAM) SEA FACING CALM COTTAGES,940,5
15069646,"Matoshri Homestay Airport Road , A Luxurious Stay.",1600,3.5
15078459,Green Room With A View Of The Fateh Sagar Lake,3550,5
15078802,Large White Room with a view of the swimming pool,3500,5
15079556,Pink Room in a bungalow on the banks of a lake,2400,5
15079778,Make memories at a beautiful and serene home,3416,4.5
15080949,Taara House Luxury Cottage,14071,5
15086455,Furnished Deluxe Apartment in Hilite City,2500,5
15088786,20 Deodar House Solan Himachal Pradesh,7064,5
15090785,Comfort & Cosy Room (S),824,4.5
15090932,Blue room with a view of the Fateh Sagar Lake,3449,5
15094425,Pichola Suite & Balcony with Lakeview,3000,5
15094687,Stay at a Heritage Organic farm,2800,5
15095057,Organic Farm stay in a Heritage Bungalow,2800,4
15095217,Deluxe Room with Large Balcony & Lake view,2500,5
15095538,Hari Niwas-Feel at  home  & relax amidst nature,1500,4.5
15096095,Rooms in an old school organic farm,2800,5
15102118,Cream Room in a bungalow on the banks of a lake,2495,5
15102596,Kapadia Bunglow,35000,5
15106185,The Residence of the Royal Family!,2983,4.5
15106749,The Royal repose!,14913,4
15116390,OLD BRITISH HOUSE- VICEROY ROOM,2500,4.5
15121010,Amazing Golden Cosy - luxury AC room!,769,5
15140480,Abode of Bedla (Abha & Deepak's Homestay),2000,5
15140726,Budget Apartment ( Comfortable Private Room ),950,5
15150789,Amazing Room with PRIVATE Garden in Koregaon Park,2066,4.5
15152570,Large 1 bedroom in Koregaon Park + Private Garden,2066,4.5
15153226,"Tented Camps @ Wayanad, Kalpetta",1214,5
15167638,Greenland Homestay Double Room,903,4
15167881,Greenland Homestay Single Room 1,740,4.5
15168609,Charming home in hills - Sanitized Luxury Rooms,15234,5
15172939,A Gem tucked away in the Jaisalmer Fort!,2983,4.5
15173750,The Royal Turquoise!,2983,4.5
15185939,Triple Bed Rooms @ Lovely Location,949,4.5
15198711,"True Family Stay, close to Airport and Metro",1000,4.5
15213209,An Organic Farm in Jaisalmer!,20000,4.5
15225132,Jaisalmer secluded room in thar desert,2500,3.5
15227362,"Jaisalmer ""Panihari Room""in Jaisalmer 
Fort",2500,5
15228620,Calm and cozy stay at shilparamam,1999,5
15229295,"Jaisalmer The ""Thharkka (Prestige)  Room",1500,5
15229605,"Cedar View Home- 2BHK Claridge's Residency,Shimla",2490,4.5
15233993,"City Apartment @ Alwarpet,Chennai",4050,4.5
15240550,Heritage house in Pink City near Hawa Mahal,1250,4.5
15241248,Srivari Villa with Scenic view,2642,4
15244648,Ganges View 3BHK Apartment (3 AC Rooms),4999,4.5
15258377,Jaisalmer Heritage Suite,1000,5
15259693,White house-2 BHK Bungalow Panchgani-Mahabaleshwar,5771,5
15260537,White House 2 BHK Bungalow Panchgani-Mahabaleshwar,5771,4.5
15266068,Sun Rise  with City view Room.,3250,4.5
15275315,"The ""Jharokha"" (Balcony) Room in Jaisalmer Fort!",2700,5
15275435,The Mirror Room In Jaisalmer Fort!,1500,5
15291845,Prakruti Farms,3086,5
15292907,Home stay  in an Organic Farm House,2800,4.5
15308298,Dochi Olive Greens - Kasauli,8000,5
15333782,Relaxation & meditation room no 1,740,4.5
15349319,PRIVATE ROOM IN ANDHERI WEST ..FOUR BUNGLOWS,1450,5
15364965,Quite and Cozy Room by the Beach,1100,4.5
15372840,Old British house Outhouse - 5,1800,5
15373176,Old British house - Outhouse - 4,1700,4.5
15387544,RedChillies 1 BHK Apartment bedroom+study room,1350,4.5
15391655,End of the road - single room,2000,4.5
15400093,The Jodhpur Park Apartment,3714,5
15402065,Khems Wood Ooty,3000,4
15403059,Khems Wood Cottage Finger Post Ooty,3000,4
15413170,Springdale Pleasant,3500,5
15416933,"* Private Room, bathroom with Large Terrace",2200,5
15431360,Artists residence on a mountain ridge- Mayascrest,12500,5
15437859,"Sanitised Private Apt _ Spacious, Central & Secure",2216,5
15439165,Holidayincoorg Cozy Nest - Classic,997,4.5
15442547,"Sukoon at Prashant’s Homestay, Nainital",1200,5
15461017,The Attic & Bamboo Terrace B&B,2049,5
15461256,Susan's Guest Room 1,1100,4.5
15461890,Susan's Guest room 2,1000,4.5
15462472,Dolphin Cottage Home stay| with free yoga classes,1500,4
15463593,"Samarpan Cottage,Bhimtal-Nainital Road,Uttarakhand",5975,4.5
15471558,Gateway Homestay,2500,5
15471669,Beautiful white house  house near laxman jhula.,1050,5
15472196,Lemon furnished 1 RK at Calangute,1091,4.5
15472749,Bright and Airy Room in Decent Bunglow. Matoshri.,1600,4
15504219,Entire Apartment Amidst Scenic Mountains,2107,4.5
15504788,Dhanlaxmi Apartment |20 MINT Walk to Mall road,2128,5
15505369,Green lawn cottage,2000,5
15516028,"ANANDAM HOUSE/ GROUND FLOOR ROOM, G3",745,5
15522904,Sukoon Homestead (Chowkhamba),4071,5
15527399,"""Mehandi (Henna) Room"" in Jaisalmer Fort!",1250,5
15528927,Mani Mansion- Amidst lush green coffee plantation,8000,5
15531333,Peaceful room in a lovely terraced home,950,5
15538320,Skardu The Private Room Mcleodganj,1980,5
15542266,StayGlee the best home stay at Kodaikanal,5673,4.5
15543216,Nivaara: A serene abode in Thane West,1529,5
15557005,For Birthdays and Family Get Together,10000,4.5
